dbcellid,x,y,z,goog14r0seg1_baseid,google_aggloid,dbcelltype,dbsubcelltype,dbsubcelltype2,dbsubcelltype3,nrvoxels,circulardepth
31792,128350,274150,2432,43353728204,52204518160,MG_OPC,0,0,0,34,3034
34538,81099,251192,2432,51445952812,51445952820,OLIGO,0,0,0,34,2890
34551,86077,252194,2432,42639025857,51475227998,OLIGO,0,0,0,34,2907
36663,129136,197450,2432,31926388752,49657037727,MG_OPC,0,0,0,34,2453
37128,93800,253122,2432,42682959755,51519176392,OLIGO,0,0,0,34,2923
40958,270981,69718,2432,36196273739,45396539279,MG_OPC,0,0,0,34,1042
47330,90395,194496,2432,40732178530,40746706202,OLIGO,0,0,0,34,2453
48476,336169,260111,2432,0,0,OLIGO,0,0,0,34,1541
1517,185403,202532,2432,40968305516,49833607521,OLIGO,0,0,0,35,2306
5545,153214,172027,2432,39904505871,39991878486,MG_OPC,0,0,0,35,2204
7994,214708,141484,2432,38931305450,47796578690,MG_OPC,0,0,0,35,1769
10989,221698,255085,2432,42658122397,51581697987,MG_OPC,0,0,0,35,2377
17901,157931,259908,2432,42859849760,51754237845,OLIGO,0,0,0,35,2803
18910,260595,118882,2432,38059435496,46982909279,MG_OPC,0,0,0,35,1410
20676,231873,86772,2432,37097652688,45962955369,OLIGO,0,0,0,35,1322
21492,382649,207850,2432,41076804261,41178677832,MG_OPC,0,0,0,35,1052
21512,357977,134713,2432,38703164063,38717721255,MG_OPC,0,0,0,35,935
28234,153278,232627,2432,33077092492,41986185085,MG_OPC,0,0,0,35,2647
31630,89028,243980,2432,42391655606,51213314235,OLIGO,0,0,0,35,2846
31696,112425,251728,2432,51447019625,51476132659,OLIGO,0,0,0,35,2905
48927,434435,169260,2432,39899352124,39928481536,UNCLASSIFIEDNEURON,0,0,0,35,549
23256,417726,212756,2432,41310845025,41339988828,INTERNEURON,0,0,0,291,804
13837,368860,241001,2432,24597545482,42124368170,PYRAMIDAL,0,0,0,1315,1247
13844,368932,248396,2432,42517515287,51368260235,MG_OPC,0,0,0,36,1263
17695,184335,246605,2432,42438567124,51303855393,OLIGO,0,0,0,36,2579
25103,330801,234470,2432,6691697556,50901159705,OLIGO,0,0,0,36,1517
27355,322507,254115,2432,42719738607,51555956281,MG_OPC,0,0,0,36,1632
34745,149780,271203,2432,52088894779,52117890726,OLIGO,0,0,0,36,2914
36911,182778,223609,2432,32947187615,41725177260,MG_OPC,0,0,0,36,2453
42662,390333,189930,2432,40567551975,40596652280,MG_OPC,0,0,0,36,938
42877,423381,159320,2432,39476813018,48371274672,MG_OPC,0,0,0,36,593
42885,421158,177972,2432,40190056095,48997160618,MG_OPC,0,0,0,36,674
47498,109184,167523,2432,39815715492,48666476787,OLIGO,0,0,0,36,2238
48262,153569,267108,2432,43165346486,43165346486,BLOODVESSELCELL,0,0,0,36,2869
1055,187932,159342,2432,39454502155,39527216435,OLIGO,0,0,0,37,2000
5676,118260,183700,2432,40354596308,40369182920,OLIGO,0,0,0,37,2360
8768,295700,194805,2432,5117431634,40739069476,MG_OPC,0,0,0,37,1620
14689,307218,175195,2432,40055304087,48920592361,OLIGO,0,0,0,37,1454
14701,305233,170695,2432,48774947245,48774947245,OLIGO,0,0,0,37,1446
18118,271961,113569,2432,37957913667,38030642096,MG_OPC,0,0,0,37,1320
21313,363783,182013,2432,40290015046,49155391099,MG_OPC,0,0,0,37,1100
21416,333128,180262,2432,40245366090,40259923131,OLIGO,0,0,0,37,1305
22133,316826,90824,2432,46096788577,46096803137,OLIGO,0,0,0,37,947
24651,397809,165906,2432,39723408960,48603371653,MG_OPC,0,0,0,37,799
25552,275174,168743,2432,30955887951,39879479619,MG_OPC,0,0,0,37,1622
30933,81158,212300,2432,41328717645,50150376429,OLIGO,0,0,0,37,2586
